Instance,Original (solvetime in ms),Original (peak memory in B),Residues (solvetime in ms),Residues (peak memory in B),Compact (solvetime in ms),Compact (peak memory in B),Compact++_S (solvetime in ms),Compact++_S (peak memory in B),Compact++_D (solvetime in ms),Compact++_D (peak memory in B),Best_S (solvetime in ms),Best_S (peak memory in B),Best_D (solvetime in ms),Best_D (peak memory in B),Dense_1_S (solvetime in ms),Dense_1_S (peak memory in B),Dense_2_S (solvetime in ms),Dense_2_S (peak memory in B),Dense_4_S (solvetime in ms),Dense_4_S (peak memory in B),Dense_8_S (solvetime in ms),Dense_8_S (peak memory in B),Dense_16_S (solvetime in ms),Dense_16_S (peak memory in B),Dense_1_D (solvetime in ms),Dense_1_D (peak memory in B),Dense_2_D (solvetime in ms),Dense_2_D (peak memory in B),Dense_4_D (solvetime in ms),Dense_4_D (peak memory in B),Dense_8_D (solvetime in ms),Dense_8_D (peak memory in B),Dense_16_D (solvetime in ms),Dense_16_D (peak memory in B),Small_1_S (solvetime in ms),Small_1_S (peak memory in B),Small_2_S (solvetime in ms),Small_2_S (peak memory in B),Small_4_S (solvetime in ms),Small_4_S (peak memory in B),Small_8_S (solvetime in ms),Small_8_S (peak memory in B),Small_15_S (solvetime in ms),Small_15_S (peak memory in B),Small_1_D (solvetime in ms),Small_1_D (peak memory in B),Small_2_D (solvetime in ms),Small_2_D (peak memory in B),Small_4_D (solvetime in ms),Small_4_D (peak memory in B),Small_8_D (solvetime in ms),Small_8_D (peak memory in B),Small_15_D (solvetime in ms),Small_15_D (peak memory in B),Best_D-NoSharing (solvetime in ms),Best_D-NoSharing (peak memory in B),PreviousGecode-IPL_MEMORY (solvetime in ms),PreviousGecode-IPL_MEMORY (peak memory in B),PreviousGecode-IPL_SPEED (solvetime in ms),PreviousGecode-IPL_SPEED (peak memory in B)
Crosswords_lexVg/instExtCW-m1c-lex-vg4-8,1235,665168,1392,746008,1200,657768,1202,646704,1204,646704,1207,646720,1203,646768,1199,657768,1200,657768,1200,657768,1199,657768,1202,657768,1201,657784,1188,654856,1196,654856,1212,654744,1248,653768,1192,657768,1242,657768,1193,657768,1202,657768,1195,657768,1203,657816,1203,657752,1218,657848,1211,657848,1211,657848,1247,1710624,6590,2721184,7790,3542560
Crosswords_lexVg/instExtCW-m1c-lex-vg5-6,2347,684568,2612,768624,2279,675520,2282,656152,2289,656152,2287,656104,2285,656056,2281,675520,2275,675520,2287,675520,2270,675520,2281,675520,2275,675584,2260,675584,2276,675520,2310,675520,2284,675504,2258,675520,2328,675520,2274,675520,2287,675520,2280,675520,2273,675520,2278,675520,2269,675552,2295,675552,2282,675552,2363,1896208,14526,3007184,15956,3791080
Crosswords_lexVg/instExtCW-m1c-lex-vg5-7,20961,767168,22613,860400,20429,749704,20490,730280,20502,730280,20413,730136,20470,729136,20495,749704,20362,749704,20437,749704,20350,749704,20468,749704,20278,749624,20134,749672,20320,749656,20550,749656,20444,751040,20207,749704,20985,749704,20257,749704,20478,749704,20241,749704,20307,749720,20433,751104,20346,749608,20571,749672,20484,749752,21066,2226288,105521,3541512,118850,4604488
Crosswords_lexVg/instExtCW-m1c-lex-vg5-8,11081,789416,11926,900232,10778,781320,10824,756632,10777,756632,10780,756568,10803,756568,10809,781320,10766,781320,10810,781320,10802,781320,10833,781320,10767,781320,10662,781320,10771,781256,10860,781256,10786,781224,10742,781320,11145,781320,10726,781320,10808,781320,10685,781320,10760,781224,10847,781256,10767,781288,10872,781288,10834,781288,11175,2386896,54608,3830752,63118,5010544
Crosswords_lexVg/instExtCW-m1c-lex-vg5-9,3436,767200,3745,873704,3350,750816,3359,740584,3347,740584,3357,740680,3392,740632,3362,750816,3348,750816,3380,750816,3335,750816,3359,750816,3332,750816,3345,750848,3342,750896,3363,750896,3351,750880,3312,750816,3460,750816,3334,750816,3352,750816,3322,750816,3342,750848,3357,750816,3343,750816,3371,750864,3358,750864,3470,2458664,16882,3944640,20258,5251448
Crosswords_lexVg/instExtCW-m1c-lex-vg6-7,25471,852224,26826,977352,24769,848272,24893,823480,24803,823480,24822,823512,24811,823480,24876,848272,24779,848272,24872,848272,24759,848272,24832,848272,24646,848256,24523,848256,24710,848208,24923,844112,24728,844112,24578,848272,25360,848272,24680,848272,24830,848272,24599,848272,24757,848208,24896,848192,24714,848160,25002,846232,24895,846232,25481,2844496,128283,4585696,143865,5945792
Crosswords_lexVg/instExtCW-m1c-lex-vg6-8,11452,879216,12372,1016304,11155,873088,11183,840280,11147,840280,11182,840184,11158,840184,11191,873088,11119,873088,11185,873088,11125,873088,11149,873088,11111,873088,11066,873088,11105,873088,11198,873040,11143,873024,11039,873088,11345,873088,11100,873088,11164,873088,11085,873088,11117,873024,11192,873120,11119,873056,11225,873088,11209,873072,11521,3052520,61395,4920984,71191,6404928
Crosswords_lexVg/instExtCW-m1c-lex-vg6-9,4052,891072,4388,1038232,3959,878808,3964,860192,3945,860192,3975,860080,3961,860080,3963,878808,3952,878808,3970,878808,3940,878808,3953,878808,3933,878808,3915,878808,3943,878776,3969,878760,3950,878744,3920,878808,4024,878808,3931,878808,3957,878808,3932,878808,3946,878744,4000,878744,3939,878760,3971,878792,3957,878792,4090,3206952,20474,5198448,24394,6902520
Crosswords_lexVg/instExtCW-m1c-lex-vg7-7,15180,715096,16540,860360,14786,702680,14867,669888,14801,669888,14854,669824,14813,669792,14875,702680,14756,702680,14808,702680,14740,702680,14792,702680,14753,702776,14625,702904,14789,702760,14885,702824,14782,702728,14641,702680,14932,702680,14749,702680,14846,702680,14721,702680,14734,702824,14820,702792,14739,702824,14854,702744,14836,702744,15360,3311752,95179,5382912,108360,6911752
Crosswords_lexVg/instExtCW-m1c-lex-vg7-8,11537,924448,12461,1059696,11265,912168,11287,891808,11264,891808,11316,891808,11266,891824,11380,912168,11232,912168,11279,912168,11244,912168,11267,912168,11197,912168,11127,912168,11211,912152,11319,912136,11229,912104,11181,912168,11367,912168,11225,912168,11265,912168,11182,912168,11227,912184,11268,912168,11209,912184,11328,912184,11255,912184,11587,3562392,58020,5825208,67363,7447472
